Mã CK,Tên công ty,Ngành cấp 1,Ngành cấp 2,Ngành cấp 3,Sàn,Ngày GDĐT,Khối lượng NY/ĐKGD
PMS,CTCP Cơ khí Xăng dầu,Sản xuất,Sản xuất sản phẩm kim loại tổng hợp,"Sản xuất lò hơi, thùng chứa và container vận chuyển",HNX,4/11/2003,"7,227,662"
SGC,CTCP Xuất nhập khẩu Sa Giang,Sản xuất,Sản xuất thực phẩm,Sản xuất các loại thực phẩm khác,HNX,18/06/2009,"7,147,580"
SDG,CTCP Sadico Cần Thơ,Sản xuất,Sản xuất giấy,Sản xuất các sản phẩm từ giấy,HNX,22/12/2009,"7,139,997"
TXM,CTCP VICEM Thạch cao Xi măng,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,HNX,11/12/2006,"7,000,000"
TSB,CTCP Ắc quy Tia Sáng,Sản xuất,"Sản xuất trang thiết bị, dụng cụ điện",Sản xuất các thiết bị điện và dụng cụ khác,HNX,19/01/2011,"6,745,480"
HCC,CTCP Bê tông Hòa Cầm - Intimex,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,HNX,24/12/2007,"6,518,586"
MED,CTCP Dược Trung ương Mediplantex,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất thuốc và dược phẩm,HNX,18/03/2020,"6,280,095"
ALT,CTCP Văn hóa Tân Bình,Sản xuất,Sản xuất các sản phẩm nhựa và cao su,Sản xuất các sản phẩm nhựa,HNX,27/07/2009,"6,172,523"
CET,CTCP HTC Holding,Sản xuất,Sản xuất khác,Sản xuất khác,HNX,28/07/2017,"6,050,000"
BBS,CTCP VICEM Bao bì Bút Sơn,Sản xuất,Sản xuất giấy,Sản xuất các sản phẩm từ giấy,HNX,28/12/2005,"6,000,000"
TKU,CTCP Công nghiệp Tung Kuang,Sản xuất,Sản xuất các sản phẩm kim loại cơ bản,Sản xuất và chế biến nhôm,HNX,26/06/2006,"5,996,904"
TTC,CTCP Gạch men Thanh Thanh,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất các sản phẩm từ đất sét và vật liệu chịu nhiệt,HNX,7/1/2010,"5,992,348"
TET,CTCP Vải sợi May mặc Miền Bắc,Sản xuất,Sản xuất các sản phẩm may mặc,Sản xuất sản phẩm may mặc dệt kim,HNX,28/04/2010,"5,702,940"
QHD,CTCP Que hàn điện Việt Đức,Sản xuất,"Sản xuất thiết bị, máy móc","Sản xuất thiết bị nông nghiệp, xây dựng và khai khoáng",HNX,22/04/2010,"5,524,716"
SSM,CTCP Chế tạo kết cấu Thép Vneco.SSM,Sản xuất,Sản xuất sản phẩm kim loại tổng hợp,Sản xuất kiến trúc và kết cấu kim loại,HNX,17/11/2008,"5,501,024"
SMT,CTCP Sametel,Sản xuất,"Sản xuất các sản phẩm điện tử, vi tính",Sản xuất thiết bị truyền thông từ tính và quang học,HNX,30/07/2010,"5,467,432"
MHL,CTCP Minh Hữu Liên,Sản xuất,Sản xuất trang thiết bị nội thất và sản phẩm liên quan,Sản xuất các sản phẩm nội thất có liên quan khác,HNX,26/11/2009,"5,430,923"
DZM,CTCP Cơ điện Dzĩ An,Sản xuất,"Sản xuất thiết bị, máy móc","Sản xuất thiết bị, máy móc công nghiệp",HNX,11/6/2009,"5,395,985"
CAP,CTCP Lâm Nông sản Thực phẩm Yên Bái,Sản xuất,Sản xuất giấy,"Nhà máy sản xuất bột giấy, giấy và giấy bìa",HNX,9/1/2008,"5,236,023"
KKC,CTCP Tập Đoàn Thành Thái,Sản xuất,Sản xuất các sản phẩm kim loại cơ bản,Sản xuất sản phẩm thép từ nguyên liệu thu mua,HNX,21/08/2008,"5,200,000"
KTS,CTCP Đường Kon Tum,Sản xuất,Sản xuất thực phẩm,Sản xuất đường và bánh kẹo,HNX,31/12/2010,"5,070,000"
VTL,CTCP Vang Thăng Long,Sản xuất,Sản xuất đồ uống và thuốc lá,Sản xuất đồ uống,HNX,14/07/2005,"5,059,992"
MCC,CTCP Gạch ngói Cao cấp,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất các sản phẩm từ đất sét và vật liệu chịu nhiệt,HNX,26/04/2010,"5,016,124"
MKV,CTCP Dược thú Y Cai Lậy,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất thuốc và dược phẩm,HNX,21/11/2008,"5,000,038"
CAN,CTCP Đồ hộp Hạ Long,Sản xuất,Sản xuất thực phẩm,Bảo quản rau quả và sản xuất thực phẩm chuyên biệt,HNX,12/6/2009,"5,000,000"
VTH,CTCP Dây cáp Điện Việt Thái,Sản xuất,"Sản xuất trang thiết bị, dụng cụ điện",Sản xuất các thiết bị điện và dụng cụ khác,HNX,29/10/2014,"5,000,000"
PBP,CTCP Bao bì Dầu khí Việt Nam,Sản xuất,Sản xuất các sản phẩm nhựa và cao su,Sản xuất các sản phẩm nhựa,HNX,27/01/2015,"4,799,516"
APP,CTCP Phát triển Phụ gia và Sản phẩm Dầu Mỏ,Sản xuất,Sản xuất xăng dầu và than đá,Sản xuất sản phẩm xăng dầu và than đá khác,HNX,5/10/2010,"4,724,632"
CTT,CTCP Chế tạo Máy - Vinacomin,Sản xuất,"Sản xuất thiết bị, máy móc","Sản xuất thiết bị, máy móc công nghiệp",HNX,17/07/2015,"4,697,351"
DNM,Tổng Công ty cổ phần Y tế DANAMECO,Sản xuất,Sản xuất khác,Sản xuất dụng cụ và thiết bị y tế,HNX,16/02/2011,"4,377,605"
CPC,CTCP Thuốc sát trùng Cần Thơ,Sản xuất,"Sản xuất hóa chất, dược phẩm","Sản xuất thuốc trừ sâu, phân bón và các loại hóa chất nông nghiệp",HNX,18/01/2010,"4,303,050"
PMP,CTCP Bao bì đạm Phú Mỹ,Sản xuất,Sản xuất các sản phẩm nhựa và cao su,Sản xuất các sản phẩm nhựa,HNX,22/09/2015,"4,200,000"
HAD,CTCP Bia Hà Nội - Hải Dương,Sản xuất,Sản xuất đồ uống và thuốc lá,Sản xuất đồ uống,HNX,27/10/2009,"4,000,000"
CJC,CTCP Cơ điện Miền Trung,Sản xuất,"Sản xuất thiết bị, máy móc","Sản xuất động cơ, tua bin và thiết bị truyền tải điện",HNX,14/12/2006,"4,000,000"
BPC,CTCP VICEM Bao bì Bỉm Sơn,Sản xuất,Sản xuất giấy,Sản xuất các sản phẩm từ giấy,HNX,8/6/2009,"3,800,000"
NHC,CTCP Gạch ngói Nhị Hiệp,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất các sản phẩm từ đất sét và vật liệu chịu nhiệt,HNX,17/06/2009,"3,041,542"
BXH,CTCP VICEM Bao bì Hải Phòng,Sản xuất,Sản xuất giấy,Sản xuất các sản phẩm từ giấy,HNX,25/11/2009,"3,012,040"
SFN,CTCP Dệt lưới Sài Gòn,Sản xuất,Sản xuất các sản phẩm nhựa và cao su,Sản xuất các sản phẩm nhựa,HNX,28/12/2006,"3,000,000"
DPC,CTCP Nhựa Đà Nẵng,Sản xuất,Sản xuất các sản phẩm nhựa và cao su,Sản xuất các sản phẩm nhựa,HNX,10/6/2009,"2,237,280"
SDN,CTCP Sơn Đồng Nai,Sản xuất,"Sản xuất hóa chất, dược phẩm",Sản xuất sơn và chất kết dính,HNX,22/06/2009,"1,518,218"
TBX,CTCP Xi măng Thái Bình,Sản xuất,Sản xuất sản phẩm khoáng chất phi kim,Sản xuất xi măng và các sản phẩm bê tông,HNX,18/11/2008,"1,510,280"
VIF,Tổng Công ty Lâm nghiệp Việt Nam - CTCP,Sản xuất nông nghiệp,Trồng rừng và khai thác gỗ,Trồng rừng lấy gỗ,HNX,3/2/2020,"350,000,000"
PSW,CTCP Phân bón và Hóa chất Dầu khí Tây Nam Bộ,Sản xuất nông nghiệp,Hoạt động hỗ trợ cho nông lâm nghiệp,Các hoạt động hỗ trợ cho trồng trọt,HNX,21/07/2015,"17,000,000"
CTP,CTCP Minh Khang Capital Trading Public,Sản xuất nông nghiệp,Trồng trọt,Trồng trọt cây có hạt và các loại trái cây,HNX,28/07/2016,"12,099,992"
HKT,CTCP Đầu tư Ego Việt Nam,Sản xuất nông nghiệp,Trồng trọt,Trồng trọt các loại cây khác,HNX,12/1/2017,"6,135,029"
BAB,Ngân hàng TMCP Bắc Á,Tài chính và bảo hiểm,Trung gian tín dụng và các hoạt động liên quan,Trung gian tín dụng có nhận tiền gửi,HNX,3/3/2021,"753,135,500"
NVB,Ngân hàng TMCP Quốc Dân,Tài chính và bảo hiểm,Trung gian tín dụng và các hoạt động liên quan,Trung gian tín dụng có nhận tiền gửi,HNX,13/09/2010,"410,155,587"
SHS,CTCP Chứng khoán Sài Gòn - Hà Nội,Tài chính và bảo hiểm,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Môi giới chứng khoán và hàng hóa,HNX,25/06/2009,"325,265,027"
MBS,CTCP Chứng khoán MB,Tài chính và bảo hiểm,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Môi giới chứng khoán và hàng hóa,HNX,28/03/2016,"267,618,324"
PVI,CTCP PVI,Tài chính và bảo hiểm,Bảo hiểm và các hoạt động liên quan,Hãng bảo hiểm,HNX,10/8/2007,"234,241,867"
IPA,CTCP Tập đoàn Đầu tư I.P.A,Tài chính và bảo hiểm,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Các hoạt động đầu tư tài chính khác,HNX,1/11/2021,"178,196,496"
VNR,Tổng Công ty cổ phần Tái Bảo hiểm Quốc gia Việt Nam,Tài chính và bảo hiểm,Bảo hiểm và các hoạt động liên quan,Hãng bảo hiểm,HNX,13/03/2006,"150,737,130"
TVC,CTCP Tập đoàn Quản lý Tài sản Trí Việt,Tài chính và bảo hiểm,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Các hoạt động đầu tư tài chính khác,HNX,23/09/2014,"103,610,670"
ART,CTCP Chứng khoán BOS,Tài chính và bảo hiểm,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Môi giới chứng khoán và hàng hóa,HNX,28/09/2018,"96,922,509"
PTI,Tổng Công ty cổ phần Bảo hiểm Bưu điện,Tài chính và bảo hiểm,Bảo hiểm và các hoạt động liên quan,Hãng bảo hiểm,HNX,2/3/2011,"80,395,709"
APS,CTCP Chứng khoán Châu Á Thái Bình Dương,Tài chính và bảo hiểm,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Môi giới chứng khoán và hàng hóa,HNX,19/04/2010,"78,000,000"
PRE,Tổng Công ty cổ phần Tái bảo hiểm PVI,Tài chính và bảo hiểm,Bảo hiểm và các hoạt động liên quan,Hãng bảo hiểm,HNX,24/12/2020,"72,800,000"
BVS,CTCP Chứng khoán Bảo Việt,Tài chính và bảo hiểm,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Môi giới chứng khoán và hàng hóa,HNX,18/12/2006,"72,233,937"
IVS,CTCP Chứng khoán Guotai Junan (Việt Nam),Tài chính và bảo hiểm,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Môi giới chứng khoán và hàng hóa,HNX,1/8/2011,"69,350,000"
EVS,CTCP Chứng khoán Everest,Tài chính và bảo hiểm,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Môi giới chứng khoán và hàng hóa,HNX,26/06/2019,"60,000,400"
PSI,CTCP Chứng khoán Dầu khí,Tài chính và bảo hiểm,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Môi giới chứng khoán và hàng hóa,HNX,21/07/2010,"59,841,300"
WSS,CTCP Chứng khoán Phố Wall,Tài chính và bảo hiểm,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Môi giới chứng khoán và hàng hóa,HNX,15/12/2009,"50,300,000"
VIG,CTCP Chứng khoán Thương mại và Công nghiệp Việt Nam,Tài chính và bảo hiểm,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Môi giới chứng khoán và hàng hóa,HNX,1/12/2009,"34,133,300"
HBS,CTCP Chứng khoán Hòa Bình,Tài chính và bảo hiểm,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Môi giới chứng khoán và hàng hóa,HNX,16/07/2010,"32,999,980"
DTK,Tổng Công ty Điện lực TKV - CTCP,Tiện ích,"Phát, truyền tải và phân phối điện năng",Phát điện,HNX,25/12/2020,"680,000,000"
IDC,Tổng Công ty IDICO – CTCP,Tiện ích,"Phát, truyền tải và phân phối điện năng",Phát điện,HNX,10/12/2019,"300,000,000"
DDG,CTCP Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,Tiện ích,"Nước, chất thải và các hệ thống khác",Cung cấp hơi nước và điều hòa không khí,HNX,18/12/2018,"57,039,886"
PGS,CTCP Kinh doanh Khí Miền Nam,Tiện ích,Phân phối khí đốt thiên nhiên,Phân phối khí đốt thiên nhiên,HNX,15/11/2007,"50,000,000"
PVG,CTCP Kinh doanh LPG Việt Nam,Tiện ích,Phân phối khí đốt thiên nhiên,Phân phối khí đốt thiên nhiên,HNX,7/1/2009,"36,500,000"
PIC,CTCP Đầu tư Điện lực 3,Tiện ích,"Phát, truyền tải và phân phối điện năng",Phát điện,HNX,9/1/2017,"33,339,891"
SEB,CTCP Đầu tư và Phát triển Điện Miền Trung,Tiện ích,"Phát, truyền tải và phân phối điện năng",Phát điện,HNX,14/01/2009,"31,999,969"
HJS,CTCP Thủy điện Nậm Mu,Tiện ích,"Phát, truyền tải và phân phối điện năng",Phát điện,HNX,20/12/2006,"20,999,900"
PCG,CTCP Đầu tư Phát triển Gas Đô thị,Tiện ích,Phân phối khí đốt thiên nhiên,Phân phối khí đốt thiên nhiên,HNX,29/12/2010,"18,870,000"
NBP,CTCP Nhiệt điện Ninh Bình,Tiện ích,"Phát, truyền tải và phân phối điện năng",Phát điện,HNX,6/8/2009,"12,865,500"
NBW,CTCP Cấp nước Nhà Bè,Tiện ích,"Nước, chất thải và các hệ thống khác",Hệ thống thủy lợi và cung cấp nước,HNX,14/11/2017,"10,900,000"
NTH,CTCP Thủy điện Nước Trong,Tiện ích,"Phát, truyền tải và phân phối điện năng",Phát điện,HNX,19/06/2019,"10,802,053"
GDW,CTCP Cấp nước Gia Định,Tiện ích,"Nước, chất thải và các hệ thống khác",Hệ thống thủy lợi và cung cấp nước,HNX,18/12/2018,"9,500,000"
BTW,CTCP Cấp nước Bến Thành,Tiện ích,"Nước, chất thải và các hệ thống khác",Hệ thống thủy lợi và cung cấp nước,HNX,14/11/2017,"9,360,000"
DNC,CTCP Điện Nước Lắp máy Hải Phòng,Tiện ích,"Phát, truyền tải và phân phối điện năng","Truyền tải, kiểm soát và phân phối điện",HNX,23/12/2009,"5,137,850"
PHP,CTCP Cảng Hải Phòng,Vận tải và kho bãi,Hỗ trợ vận tải,Hoạt động hỗ trợ vận tải đường thủy,HNX,12/8/2015,"326,960,000"
DL1,CTCP Tập đoàn Alpha Seven,Vận tải và kho bãi,Vận tải trung chuyển và vận tải hành khách bằng đường bộ,Vận tải trung chuyển và vận tải hành khách bằng đường bộ khác,HNX,10/3/2010,"101,177,353"
CDN,CTCP Cảng Đà Nẵng,Vận tải và kho bãi,Hỗ trợ vận tải,Sắp xếp vận tải hàng hóa,HNX,30/11/2016,"99,000,000"
HHG,CTCP Hoàng Hà,Vận tải và kho bãi,Vận tải đường bộ,Vận tải đường bộ,HNX,28/07/2010,"34,896,354"
VNF,CTCP Vinafreight,Vận tải và kho bãi,Hỗ trợ vận tải,Sắp xếp vận tải hàng hóa,HNX,1/12/2010,"26,402,201"
DXP,CTCP Cảng Đoạn Xá,Vận tải và kho bãi,Hỗ trợ vận tải,Hoạt động hỗ trợ vận tải đường thủy,HNX,8/6/2009,"25,987,027"
CCR,CTCP Cảng Cam Ranh,Vận tải và kho bãi,Hỗ trợ vận tải,Hoạt động hỗ trợ vận tải đường thủy,HNX,19/11/2021,"24,501,817"
NAP,CTCP Cảng Nghệ Tĩnh,Vận tải và kho bãi,Hỗ trợ vận tải,Hoạt động hỗ trợ vận tải đường thủy,HNX,27/03/2018,"21,517,200"
MAC,CTCP Cung ứng và Dịch vụ Kỹ thuật Hàng Hải,Vận tải và kho bãi,Hỗ trợ vận tải,Hoạt động hỗ trợ vận tải đường thủy,HNX,24/12/2009,"15,139,745"
VSA,CTCP Đại lý Hàng hải Việt Nam,Vận tải và kho bãi,Hỗ trợ vận tải,Hoạt động hỗ trợ vận tải đường thủy,HNX,22/12/2015,"14,096,486"
CAG,CTCP Cảng An Giang,Vận tải và kho bãi,Hỗ trợ vận tải,Sắp xếp vận tải hàng hóa,HNX,4/12/2017,"13,800,000"
HMH,CTCP Hải Minh,Vận tải và kho bãi,Hỗ trợ vận tải,Sắp xếp vận tải hàng hóa,HNX,28/07/2010,"13,199,847"
GIC,CTCP Đầu tư Dịch vụ và Phát triển Xanh,Vận tải và kho bãi,Hỗ trợ vận tải,Các hoạt động hỗ trợ vận tải khác,HNX,6/11/2020,"12,120,000"
